panel_index,panel_title,panel_xlabel,panel_ylabel,panel_type,layer,series_index,series_label,x,y,width,height
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,42,_nolegend_,1.8896,0.143990730716323,0.2208,0.8441268318270644
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,43,_nolegend_,2.8896,0.6528183858996878,0.2208,0.3458136650857826
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,44,_nolegend_,3.8896,0.5032006580283632,0.2208,0.4749707324391542
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,45,_nolegend_,4.8896,0.2767209191414683,0.2208,0.6800853990235677
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,46,_nolegend_,5.8896,0.4161659007606795,0.2208,0.5628245717124082
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,47,_nolegend_,6.8896,0.33497958968238284,0.2208,0.6584819949464873
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,48,_nolegend_,7.8896,0.24809745957764487,0.2208,0.7251819039493178
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,49,_nolegend_,8.8896,0.33427849716332275,0.2208,0.6634052234422415
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,50,_nolegend_,-0.1104,0.9283465707021241,0.2208,0.07165343538314728
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,51,_nolegend_,0.8896,0.9980325806259256,0.2208,0.001967419581148211
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,52,_nolegend_,1.8896,0.9881175625433873,0.2208,0.01188243493515373
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,53,_nolegend_,2.8896,0.9986320509854704,0.2208,0.0013679407471984817
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,54,_nolegend_,3.8896,0.9781713904675173,0.2208,0.021828607648349152
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,55,_nolegend_,4.8896,0.9568063181650359,0.2208,0.04319368386485922
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,56,_nolegend_,5.8896,0.9789904724730877,0.2208,0.021009527932765226
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,57,_nolegend_,6.8896,0.9934615846288701,0.2208,0.0065384165180149
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,58,_nolegend_,7.8896,0.9732793635269626,0.2208,0.026720635492917255
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,59,_nolegend_,8.8896,0.9976837206055642,0.2208,0.002316275314806271
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,60,_nolegend_,0.1296,0.0,0.2208,0.09503879988110081
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,61,_nolegend_,1.1296,0.0,0.2208,0.08673112472237941
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,62,_nolegend_,2.1296000000000004,0.0,0.2208,0.046638436965731674
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,63,_nolegend_,3.1296000000000004,0.0,0.2208,0.3444241682335269
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,64,_nolegend_,4.1296,0.0,0.2208,0.3506275681832388
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,65,_nolegend_,5.1296,0.0,0.2208,0.18587792262245784
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,66,_nolegend_,6.1296,0.0,0.2208,0.04085573560097449
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,67,_nolegend_,7.1296,0.0,0.2208,0.049180392537794736
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,68,_nolegend_,8.1296,0.0,0.2208,0.16328279960056535
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,69,_nolegend_,9.1296,0.0,0.2208,0.1668504379253621
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,70,_nolegend_,0.1296,0.09503879988110081,0.2208,0.8266985041093236
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,71,_nolegend_,1.1296,0.08673112472237941,0.2208,0.8511680955160408
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,72,_nolegend_,2.1296000000000004,0.046638436965731674,0.2208,0.7163225072453496
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,73,_nolegend_,3.1296000000000004,0.3444241682335269,0.2208,0.4418409519196333
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,74,_nolegend_,4.1296,0.3506275681832388,0.2208,0.5783714328564624
