panel_index,panel_title,panel_xlabel,panel_ylabel,panel_type,layer,series_index,series_label,point_index,x,y
3,"policy director -- turn 4
neutral: pub=0.84, otr=0.61",,,polar,line,0,public,2,2.0943951023931953,0.009166008792817593
3,"policy director -- turn 4
neutral: pub=0.84, otr=0.61",,,polar,line,0,public,3,3.141592653589793,0.0008736511808820069
3,"policy director -- turn 4
neutral: pub=0.84, otr=0.61",,,polar,line,0,public,4,4.1887902047863905,0.027283674106001854
3,"policy director -- turn 4
neutral: pub=0.84, otr=0.61",,,polar,line,0,public,5,5.235987755982988,0.0020545232109725475
3,"policy director -- turn 4
neutral: pub=0.84, otr=0.61",,,polar,line,0,public,6,0.0,0.10917247086763382
3,"policy director -- turn 4
neutral: pub=0.84, otr=0.61",,,polar,line,1,OTR,0,0.0,0.21289663016796112
3,"policy director -- turn 4
neutral: pub=0.84, otr=0.61",,,polar,line,1,OTR,1,1.0471975511965976,0.024190368130803108
3,"policy director -- turn 4
neutral: pub=0.84, otr=0.61",,,polar,line,1,OTR,2,2.0943951023931953,0.007120226044207811
3,"policy director -- turn 4
neutral: pub=0.84, otr=0.61",,,polar,line,1,OTR,3,3.141592653589793,0.0012068863725289702
3,"policy director -- turn 4
neutral: pub=0.84, otr=0.61",,,polar,line,1,OTR,4,4.1887902047863905,0.13777782022953033
3,"policy director -- turn 4
neutral: pub=0.84, otr=0.61",,,polar,line,1,OTR,5,5.235987755982988,0.00603028479963541
3,"policy director -- turn 4
neutral: pub=0.84, otr=0.61",,,polar,line,1,OTR,6,0.0,0.21289663016796112
4,"policy director -- turn 5
neutral: pub=0.79, otr=0.67",,,polar,line,0,public,0,0.0,0.12952828407287598
4,"policy director -- turn 5
neutral: pub=0.79, otr=0.67",,,polar,line,0,public,1,1.0471975511965976,0.010206544771790504
4,"policy director -- turn 5
neutral: pub=0.79, otr=0.67",,,polar,line,0,public,2,2.0943951023931953,0.012517387047410011
4,"policy director -- turn 5
neutral: pub=0.79, otr=0.67",,,polar,line,0,public,3,3.141592653589793,0.0013310565846040845
4,"policy director -- turn 5
neutral: pub=0.79, otr=0.67",,,polar,line,0,public,4,4.1887902047863905,0.0559471994638443
4,"policy director -- turn 5
neutral: pub=0.79, otr=0.67",,,polar,line,0,public,5,5.235987755982988,0.002893337979912758
4,"policy director -- turn 5
neutral: pub=0.79, otr=0.67",,,polar,line,0,public,6,0.0,0.12952828407287598
4,"policy director -- turn 5
neutral: pub=0.79, otr=0.67",,,polar,line,1,OTR,0,0.0,0.12973377108573914
4,"policy director -- turn 5
neutral: pub=0.79, otr=0.67",,,polar,line,1,OTR,1,1.0471975511965976,0.04150887206196785
4,"policy director -- turn 5
neutral: pub=0.79, otr=0.67",,,polar,line,1,OTR,2,2.0943951023931953,0.040071651339530945
4,"policy director -- turn 5
neutral: pub=0.79, otr=0.67",,,polar,line,1,OTR,3,3.141592653589793,0.004699122626334429
4,"policy director -- turn 5
neutral: pub=0.79, otr=0.67",,,polar,line,1,OTR,4,4.1887902047863905,0.10776353627443314
4,"policy director -- turn 5
neutral: pub=0.79, otr=0.67",,,polar,line,1,OTR,5,5.235987755982988,0.00514357490465045
4,"policy director -- turn 5
neutral: pub=0.79, otr=0.67",,,polar,line,1,OTR,6,0.0,0.12973377108573914
5,"coalition chair -- turn 1
neutral: pub=0.64, otr=0.64",,,polar,line,0,public,0,0.0,0.08265703171491623
5,"coalition chair -- turn 1
neutral: pub=0.64, otr=0.64",,,polar,line,0,public,1,1.0471975511965976,0.07628067582845688
5,"coalition chair -- turn 1
neutral: pub=0.64, otr=0.64",,,polar,line,0,public,2,2.0943951023931953,0.1518949568271637
5,"coalition chair -- turn 1
neutral: pub=0.64, otr=0.64",,,polar,line,0,public,3,3.141592653589793,0.010940243490040302
5,"coalition chair -- turn 1
neutral: pub=0.64, otr=0.64",,,polar,line,0,public,4,4.1887902047863905,0.031170640140771866
5,"coalition chair -- turn 1
neutral: pub=0.64, otr=0.64",,,polar,line,0,public,5,5.235987755982988,0.007089645601809025
5,"coalition chair -- turn 1
neutral: pub=0.64, otr=0.64",,,polar,line,0,public,6,0.0,0.08265703171491623
5,"coalition chair -- turn 1
neutral: pub=0.64, otr=0.64",,,polar,line,1,OTR,0,0.0,0.1369747668504715
5,"coalition chair -- turn 1
neutral: pub=0.64, otr=0.64",,,polar,line,1,OTR,1,1.0471975511965976,0.01940080150961876
5,"coalition chair -- turn 1
neutral: pub=0.64, otr=0.64",,,polar,line,1,OTR,2,2.0943951023931953,0.09996864199638367
5,"coalition chair -- turn 1
neutral: pub=0.64, otr=0.64",,,polar,line,1,OTR,3,3.141592653589793,0.009910172782838345
5,"coalition chair -- turn 1
neutral: pub=0.64, otr=0.64",,,polar,line,1,OTR,4,4.1887902047863905,0.08144619315862656
5,"coalition chair -- turn 1
neutral: pub=0.64, otr=0.64",,,polar,line,1,OTR,5,5.235987755982988,0.007629851810634136
5,"coalition chair -- turn 1
neutral: pub=0.64, otr=0.64",,,polar,line,1,OTR,6,0.0,0.1369747668504715
6,"coalition chair -- turn 2
neutral: pub=0.05, otr=0.07",,,polar,line,0,public,0,0.0,0.0144029026851058
6,"coalition chair -- turn 2
neutral: pub=0.05, otr=0.07",,,polar,line,0,public,1,1.0471975511965976,0.871131420135498
6,"coalition chair -- turn 2
neutral: pub=0.05, otr=0.07",,,polar,line,0,public,2,2.0943951023931953,0.02875988930463791
6,"coalition chair -- turn 2
neutral: pub=0.05, otr=0.07",,,polar,line,0,public,3,3.141592653589793,0.002229871926829219
6,"coalition chair -- turn 2
neutral: pub=0.05, otr=0.07",,,polar,line,0,public,4,4.1887902047863905,0.03401198983192444
6,"coalition chair -- turn 2
neutral: pub=0.05, otr=0.07",,,polar,line,0,public,5,5.235987755982988,0.0029625457245856524
6,"coalition chair -- turn 2
neutral: pub=0.05, otr=0.07",,,polar,line,0,public,6,0.0,0.0144029026851058
6,"coalition chair -- turn 2
neutral: pub=0.05, otr=0.07",,,polar,line,1,OTR,0,0.0,0.030749674886465073
6,"coalition chair -- turn 2
neutral: pub=0.05, otr=0.07",,,polar,line,1,OTR,1,1.0471975511965976,0.7505887150764465
6,"coalition chair -- turn 2
neutral: pub=0.05, otr=0.07",,,polar,line,1,OTR,2,2.0943951023931953,0.061850860714912415
6,"coalition chair -- turn 2
neutral: pub=0.05, otr=0.07",,,polar,line,1,OTR,3,3.141592653589793,0.0029696293640881777
6,"coalition chair -- turn 2
neutral: pub=0.05, otr=0.07",,,polar,line,1,OTR,4,4.1887902047863905,0.08200976252555847
6,"coalition chair -- turn 2
neutral: pub=0.05, otr=0.07",,,polar,line,1,OTR,5,5.235987755982988,0.005822145380079746
6,"coalition chair -- turn 2
neutral: pub=0.05, otr=0.07",,,polar,line,1,OTR,6,0.0,0.030749674886465073
7,"coalition chair -- turn 3
neutral: pub=0.83, otr=0.16",,,polar,line,0,public,0,0.0,0.06003021076321602
7,"coalition chair -- turn 3
neutral: pub=0.83, otr=0.16",,,polar,line,0,public,1,1.0471975511965976,0.01544900517910719
7,"coalition chair -- turn 3
neutral: pub=0.83, otr=0.16",,,polar,line,0,public,2,2.0943951023931953,0.06209570914506912
7,"coalition chair -- turn 3
neutral: pub=0.83, otr=0.16",,,polar,line,0,public,3,3.141592653589793,0.005152526777237654
7,"coalition chair -- turn 3
neutral: pub=0.83, otr=0.16",,,polar,line,0,public,4,4.1887902047863905,0.02284691482782364
7,"coalition chair -- turn 3
neutral: pub=0.83, otr=0.16",,,polar,line,0,public,5,5.235987755982988,0.005044853314757347
7,"coalition chair -- turn 3
neutral: pub=0.83, otr=0.16",,,polar,line,0,public,6,0.0,0.06003021076321602
7,"coalition chair -- turn 3
neutral: pub=0.83, otr=0.16",,,polar,line,1,OTR,0,0.0,0.42293649911880493
7,"coalition chair -- turn 3
neutral: pub=0.83, otr=0.16",,,polar,line,1,OTR,1,1.0471975511965976,0.1182679682970047
7,"coalition chair -- turn 3
neutral: pub=0.83, otr=0.16",,,polar,line,1,OTR,2,2.0943951023931953,0.04695144295692444
7,"coalition chair -- turn 3
neutral: pub=0.83, otr=0.16",,,polar,line,1,OTR,3,3.141592653589793,0.003951833583414555
7,"coalition chair -- turn 3
neutral: pub=0.83, otr=0.16",,,polar,line,1,OTR,4,4.1887902047863905,0.2436559796333313
7,"coalition chair -- turn 3
neutral: pub=0.83, otr=0.16",,,polar,line,1,OTR,5,5.235987755982988,0.008576512336730957
7,"coalition chair -- turn 3
neutral: pub=0.83, otr=0.16",,,polar,line,1,OTR,6,0.0,0.42293649911880493
8,"coalition chair -- turn 4
neutral: pub=0.53, otr=0.19",,,polar,line,0,public,0,0.0,0.15954914689064026
8,"coalition chair -- turn 4
neutral: pub=0.53, otr=0.19",,,polar,line,0,public,1,1.0471975511965976,0.04706307500600815
8,"coalition chair -- turn 4
neutral: pub=0.53, otr=0.19",,,polar,line,0,public,2,2.0943951023931953,0.1744069904088974
8,"coalition chair -- turn 4
neutral: pub=0.53, otr=0.19",,,polar,line,0,public,3,3.141592653589793,0.013686524704098701
8,"coalition chair -- turn 4
neutral: pub=0.53, otr=0.19",,,polar,line,0,public,4,4.1887902047863905,0.07082343101501465
8,"coalition chair -- turn 4
neutral: pub=0.53, otr=0.19",,,polar,line,0,public,5,5.235987755982988,0.00765000656247139
8,"coalition chair -- turn 4
neutral: pub=0.53, otr=0.19",,,polar,line,0,public,6,0.0,0.15954914689064026
8,"coalition chair -- turn 4
neutral: pub=0.53, otr=0.19",,,polar,line,1,OTR,0,0.0,0.12587730586528778
8,"coalition chair -- turn 4
neutral: pub=0.53, otr=0.19",,,polar,line,1,OTR,1,1.0471975511965976,0.12081443518400192
8,"coalition chair -- turn 4
neutral: pub=0.53, otr=0.19",,,polar,line,1,OTR,2,2.0943951023931953,0.07463759183883667
8,"coalition chair -- turn 4
neutral: pub=0.53, otr=0.19",,,polar,line,1,OTR,3,3.141592653589793,0.007630622014403343
8,"coalition chair -- turn 4
neutral: pub=0.53, otr=0.19",,,polar,line,1,OTR,4,4.1887902047863905,0.47766879200935364
8,"coalition chair -- turn 4
neutral: pub=0.53, otr=0.19",,,polar,line,1,OTR,5,5.235987755982988,0.007922046817839146
