panel_index,panel_title,panel_xlabel,panel_ylabel,panel_type,layer,series_index,series_label,point_index,x,y
0,Cosine ratio distributions by model and incentive direction,Model,Cosine / model+scenario baseline mean,rectilinear,line,8,_child68,0,8.5,0.0
0,Cosine ratio distributions by model and incentive direction,Model,Cosine / model+scenario baseline mean,rectilinear,line,8,_child68,1,8.5,1.0
0,Cosine ratio distributions by model and incentive direction,Model,Cosine / model+scenario baseline mean,rectilinear,line,9,_child69,0,0.0,1.0
0,Cosine ratio distributions by model and incentive direction,Model,Cosine / model+scenario baseline mean,rectilinear,line,9,_child69,1,1.0,1.0
0,Cosine ratio distributions by model and incentive direction,Model,Cosine / model+scenario baseline mean,rectilinear,collection,0,_child0,0,0.0,0.0
0,Cosine ratio distributions by model and incentive direction,Model,Cosine / model+scenario baseline mean,rectilinear,collection,1,_child1,0,-0.2,0.9780223878947466
0,Cosine ratio distributions by model and incentive direction,Model,Cosine / model+scenario baseline mean,rectilinear,collection,2,_child2,0,0.0,0.0
0,Cosine ratio distributions by model and incentive direction,Model,Cosine / model+scenario baseline mean,rectilinear,collection,3,_child3,0,0.0,0.0
0,Cosine ratio distributions by model and incentive direction,Model,Cosine / model+scenario baseline mean,rectilinear,collection,4,_child4,0,0.2,0.950692176658931
0,Cosine ratio distributions by model and incentive direction,Model,Cosine / model+scenario baseline mean,rectilinear,collection,5,_child5,0,0.0,0.0
0,Cosine ratio distributions by model and incentive direction,Model,Cosine / model+scenario baseline mean,rectilinear,collection,6,_child6,0,0.0,0.0
0,Cosine ratio distributions by model and incentive direction,Model,Cosine / model+scenario baseline mean,rectilinear,collection,7,_child7,0,0.8,1.00491426013114
0,Cosine ratio distributions by model and incentive direction,Model,Cosine / model+scenario baseline mean,rectilinear,collection,8,_child8,0,0.0,0.0
0,Cosine ratio distributions by model and incentive direction,Model,Cosine / model+scenario baseline mean,rectilinear,collection,9,_child9,0,0.0,0.0
0,Cosine ratio distributions by model and incentive direction,Model,Cosine / model+scenario baseline mean,rectilinear,collection,10,_child10,0,1.2,0.9710196239796067
0,Cosine ratio distributions by model and incentive direction,Model,Cosine / model+scenario baseline mean,rectilinear,collection,11,_child11,0,0.0,0.0
0,Cosine ratio distributions by model and incentive direction,Model,Cosine / model+scenario baseline mean,rectilinear,collection,12,_child12,0,0.0,0.0
0,Cosine ratio distributions by model and incentive direction,Model,Cosine / model+scenario baseline mean,rectilinear,collection,13,_child13,0,1.8,1.01801804738671
0,Cosine ratio distributions by model and incentive direction,Model,Cosine / model+scenario baseline mean,rectilinear,collection,14,_child14,0,0.0,0.0
0,Cosine ratio distributions by model and incentive direction,Model,Cosine / model+scenario baseline mean,rectilinear,collection,15,_child15,0,0.0,0.0
0,Cosine ratio distributions by model and incentive direction,Model,Cosine / model+scenario baseline mean,rectilinear,collection,16,_child16,0,2.2,0.930280257400885
0,Cosine ratio distributions by model and incentive direction,Model,Cosine / model+scenario baseline mean,rectilinear,collection,17,_child17,0,0.0,0.0
0,Cosine ratio distributions by model and incentive direction,Model,Cosine / model+scenario baseline mean,rectilinear,collection,18,_child18,0,0.0,0.0
