panel_index,panel_title,panel_xlabel,panel_ylabel,panel_type,layer,series_index,series_label,point_index,x,y,width,height
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,30,_nolegend_,,0.7,0.996346088766586,0.6000000000000001,0.003653934458270669
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,31,_nolegend_,,1.7,0.9956636886345223,0.6000000000000001,0.004336365964263678
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,32,_nolegend_,,2.7,0.9962277279701084,0.6000000000000001,0.00377222103998065
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,33,_nolegend_,,3.7,0.9944275501184165,0.6000000000000001,0.005572535563260317
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,34,_nolegend_,,4.7,0.9963139473693445,0.6000000000000001,0.0036862040869891644
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,35,_nolegend_,,0.7,0.0,0.6000000000000001,-0.07813461124897003
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,36,_nolegend_,,1.7,0.0,0.6000000000000001,-0.04026227444410324
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,37,_nolegend_,,2.7,0.0,0.6000000000000001,-0.01775873824954033
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,38,_nolegend_,,3.7,0.0,0.6000000000000001,-0.011251521296799183
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,39,_nolegend_,,4.7,0.0,0.6000000000000001,-0.012818031013011932
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,40,_nolegend_,,0.7,-0.07813461124897003,0.6000000000000001,-0.010879947803914547
